seller-sku	asin1	price	quantity
ACER-1660-UA92-32-512-1THDD-W11H-K1	B0BZQY12VW	849	20
ACER-1660-UA92-32-512-1THDD-W11P-K1	B0BZQX9W1S	899	16
ACER-50RS-12GB-256GB-1THDD-W10H-K1	B0BXMVJCCK	769	40
ACER-A315-23-R5-20GB-1TB-W11P-K1	B0BZ6872ZS	749	9
ACER-A315-59-53ER-16GB-256X2-W10H-K2	B0C1HTXJ8Y	749	10
ACER-A315-59-53ER-16GB-256X2-W10P-K2	B0C1HWP5XY	799	9
ACER-A315-59-53ER-16GB-256X2-W11P-K2	B0C1HW2W41	799	10
ACER-A315-59-53ER-32GB-1TB-W11P-K2	B0C1HVDCK8	999	10
ACER-A515-43-R19L-16GB-256GB-1TB-W10P-K2	B0BYN4HXZB	599	50
ACER-A515-43-R19L-16GB-256GB-1TB-W10P-K3	B0BYN4HXZB	599	50
ACER-A515-43-R19L-16GB-256GB-W10P-K2	B0BYN4W375	569	48
ACER-A515-43-R19L-16GB-256GB-W10P-K3	B0BYN4W375	569	50
ACER-A515-43-R19L-16GB-512GB-W11P-K2	B0BYN4M871	599	45
ACER-A515-43-R19L-16GB-512GB-W11P-K3	B0BYN4M871	599	43
ACER-A515-43-R19L-32GB-1TB-W10P-K2	B0BYN4NKS5	749	50
ACER-A515-43-R19L-32GB-1TB-W10P-K3	B0BYN4NKS5	749	49
ACER-A515-56-36UT-20GB-512GB-W10P-K1	B0BYTNVVPQ	649	30
ACER-A515-56-36UT-20GB-512GB-W11P-K1	B0BYTN6PPL	649	23
ACER-A515-56-50RS	B08PG4W932	549	14
ACER-A515-56-50RS-12GB-512GB-W10H-K1	B0BXMMRYBL	769	40
ACER-A515-56-50RS-20GB-1TB-W11H-K1	B0BXMLRPQ7	899	40
ACER-A515-56-50RS-36GB-1TB-W10P-K1	B0BXMLHNPQ	1049	40
ACER-A515-56-50RS-36GB-1TB-W11P-K1	B0BXMQK5G3	1049	40
ACER-A515-56-50RS-MIX	B087RTV311	549	21
ACER-A515-56-50RS-MIX1	B07RF2123Z	536	12
ACER-A515-56-50RS-MIX2	B07XPLKZ5P	549	20
ACER-A515-56-50RS-MIX3	B07RF2123Z	741.97	37
ACER-A515-56-79N0-36GB-1TB-W11P	B0BWHJ5S8J	1099	20
