seller-sku	asin1	price	quantity
1R-URD2-WIDN	B07R8WK8VP	549	1
2X-SANT-RMOW	B07799BTX7	525	1
3D-6LX9-UFW0	B073858Q9X	279	3
ACER-A315-23-R5-20GB-1TB-W11P-K1	B0BZ6872ZS	749	10
ACER-A315-59-53ER-16GB-256X2-W10H-K1	B0C1HTXJ8Y	749	10
ACER-A315-59-53ER-16GB-256X2-W10H-K2	B0C1HTXJ8Y	599	9
ACER-A315-59-53ER-16GB-256X2-W10P-K1	B0C1HWP5XY	799	10
ACER-A315-59-53ER-16GB-256X2-W10P-K2	B0C1HWP5XY	649	9
ACER-A315-59-53ER-16GB-256X2-W11P-K1	B0C1HW2W41	799	10
ACER-A315-59-53ER-16GB-256X2-W11P-K2	B0C1HW2W41	649	9
ACER-A315-59-53ER-32GB-1TB-W11P-K1	B0C1HVDCK8	999	10
ACER-A315-59-53ER-32GB-1TB-W11P-K2	B0C1HVDCK8	849	9
ACER-A515-43-R19L-16GB-256GB-1TB-W10P-K3	B0BYN4HXZB	599	48
ACER-A515-43-R19L-16GB-256GB-W10P-K3	B0BYN4W375	569	39
ACER-A515-43-R19L-16GB-512GB-W11P-K3	B0BYN4M871	599	35
ACER-A515-43-R19L-32GB-1TB-W10P-K3	B0BYN4NKS5	749	43
ACER-A515-55-35SE	B08HN1WDWZ	449	5
ACER-A515-55-378V	B087RTBMK5	449	2
ACER-A515-55-56VK-MIX1	B07XPLKZ5P	621.97	14
ACER-A515-55-56VK-MIX2	B07RF2123Z	629	12
ACER-A515-56-50RS	B08PG4W932	569	30
ACER-AN517-i7-64GB-4TB-W11P-K3	B0C2YXR6LY	2099	8
ACER-PH315-55-32GB-1TB-W10P-K2	B0C15NLZ53	1459	27
ACER-PH315-55-32GB-1TB-W10P-UV	B0C15NLZ53	1167	2
ACER-PH315-55-64GB-2TB-W11P-K2	B0C15MZK41	1779	25
ACER-SF314-59-75QC	B093TMFFC3	749	5
ACER-TC-895-UA91-MIX	B088X29HF6	629	40
ASUS-F512DA-AS34	B0869L1326	449	10
ASUS-F512JA-OH36	B08PW7TSD4	473	10
ASUS-F515JA-AH31	B08H4YTTLP	449	1
ASUS-ROG-G512LI-BI7N10	B08CHMSVVH	1099	4
ASUS-TUF516PE-AB73	B08XPC3WFQ	1149	5
AW-MON-AW3420DW-UL	B07YLGH9Q5	699	1
Ace-A515-55-56VK	B087RTV311	539	36
CHRM-ASUS-C523NA-IH44F	B08ZNX3G9C	225	4
CHRM-HP-14A-NA0061DX	B08L9QSRCP	165	14
DELL-3511-1135G7-TOUCH-16GB-512GB-UL	B0BRT5ZBN5	498	1
DELL-3511-1165G7-TOUCH-32GB-1TSSD-UL1	B0B1S7448J	789	1
DELL-3511-i5-TOUCH-16GB-1TBSSD-UL	B0B273H99Y	498	1
DELL-3910-16G-512S-1TH-W11P	B0BB293F9T	729	17
DELL-3910-16GB-1TS-W11P-SKU1	B0BB29QKQN	795	17
DELL-G15-5520-GREEN-i7-16GB-1TB-W11H-K2	B0BY8LWMFX	1209	9
DELL-G15-5520-GREEN-i7-32GB-1TB-W11H-K2	B0BY8P2P6F	1309	10
DELL-G15-5520-GREEN-i7-32GB-2TB-W11P-K2	B0BY8NM1G4	1479	7
DELL-G15-5520-GREEN-i7-64GB-2TB-W11H-K2	B0BY8N6GM5	1729	10
DELL-I3511T-10th-i5-16GB-1TB-W11H-K1	B0BXZYJF3G	729	27
DELL-I3511T-10th-i5-16GB-512GB-W10P-K1	B0BXYZ14NG	699	17
DELL-I3511T-10th-i5-16GB-512GB-W11P-K1	B0BXZF1GHW	699	26
DELL-I3511T-i5-16GB-1TB-W11P-K1	B0BXZMY7R3	749	26
DELL-I3511T-i5-16GB-256G-1THDD-W11P-K1	B0BXYXP1LR	669	19
DELL-I3511T-i5-16GB-512GB-W10P-K1	B0BXZW3LGS	669	9
DELL-I3511T-i5-16GB-512GB-W11H-K1	B0BXZKMF1S	619	21
DELL-I3511T-i5-16GB-512GB-W11P-K1	B0BXYZ9SZZ	669	24
DELL-I3511T-i5-32GB-1TB-W10H-K1	B0BXZJZRH8	799	28
DELL-I3511T-i7-32GB-1TB-W11P-K1	B0BXZTMTB9	1199	5
DELL-I3525NT-R7-16GB-512GB-W11P-K1	B0BZBPN8P2	799	8
DELL-I3525NT-R7-32GB-1TB-W11H-K1	B0BZBS814R	949	9
DELL-I3525T-R7-32GB-1TB-W11P-K1	B0BXVJX9LG	1199	26
DELL-i5570-16GB-512GB-W10P-UL	B077GT5RBV	749	1
DELL-i5620-i7-64GB-4TB-W11P-K2	B0BTWW55CB	1749	10
DELL-i5620-i7-MX570-16GB-1TB-W11H-K2	B0BY1CMN5K	1049	29
DELL-i5620-i7-MX570-16GB-1TB-W11P-K2	B0BY13M8KG	1099	27
DELL-i5620-i7-MX570-16GB-512GB-W10P-K2	B0BY1FVK3Y	1049	30
DELL-i5620-i7-MX570-32GB-1TB-W10P-K2	B0BY192FQ4	1179	37
DELL-i5620-i7-MX570-32GB-1TB-W11P-K2	B0BXZZQBS8	1179	22
DELL-i5620-i7-MX570-32GB-2TB-W10P-K2	B0BY15X1KN	1299	12
DELL-i5620-i7-MX570-32GB-2TB-W11P-K2	B0BY18L4T8	1299	23
DELL-i5620-i7-MX570-64GB-2TB-W11P-K2	B0BY1331GP	1459	23
DELL-i5620-i7-MX570-64GB-4TB-W11P-K2	B0BY13FY8P	1639	27
DELL-i7425-R5-32GB-1TB-W11H-K2	B0BXQN1VCH	969	14
DELL-i7425-R7-32GB-2TB-W11P-K2	B0BXQRYYC9	1369	15
DELL-i7425-R7-64GB-2TB-W10H-K2	B0BXQWGBB3	1469	14
DELL-i7425-R7-64GB-2TB-W11H-K2	B0BXQRY54L	1469	14
DELL-i7620-i7-16GB-512GB-W11P-K2	B0BXQN7LJS	1169	20
DIVE-ACER-SF314-43-R2YY-8-256	B08YD1JLJF	595	8
DIVE-DELL-INSP-3670-i3-8100-1TBHDD-W10H	B07DWMMZK3	449	1
DIVE-HP-15-FA0033DX-FA0031DX	B0B7LSPZ77	649	46
DIVE-INTEL-i3-10100T-UL	B08G56XBXK	79	19
DIVE-INTEL-i3-12100-UL-SKU1	B09MDDX29R	99	9
DIVE-INTEL-i5-13500-UL-NC	B0BQ6CFDCX	205	8
DIVE-LG-16T90P-16-512-W11H	B08YD4BK11	999	38
E5-GYVJ-UMNL	B0883MTJSR	85	4
GAME-PS4-TITANFALL2	B01GKGVI8U	13.25	2
H5-4V7Q-J8BP	B0899L8GR1	168	29
HDD-TOSHIBA-25IN-7MM-54K-1TB-UL	B07D2XR1CS	29.99	8
HP-14-DK1022WM	B08HCMWMPS	369	30
HP-14-DQ0002DX	B08JWNVBK2	208	23
HP-14-DQ0011DX-TOUCH-4GB-128GB	B07WXQ4V3R	469	19
HP-14-DQ1038WM	B082DK8S8J	389	29
HP-14-DQ1038WM-8GB-128GB-MIX	B07KNLVRJ2	415	6
HP-14-DW1024WM-4GB-128GB	B08ZKY469Y	311	1
HP-14-FQ0032MS-R38128	B08QHH5BZR	411	10
HP-15-DW1023DX-MIX	B08B3X4L95	675	2
HP-15-DW3033DX-MIX1	B08K1RH6JJ	549	10
HP-15-EF1300WM-8GB-256GB-MIX	B0876K24XJ	454	1
HP-15-EF2127WM-UL	B09BMGCVZH	349	1
HP-15-EH0050WM	B09FG8PF14	499	5
HP-16-K0013DX-32GB-1TBSSD-W11P-K3	B0CNRHKG86	1249	9
HP-17-CN0065-32GB-1TBSSD-W10P-K2	B09MJQMK7Z	1199	33
HP-17-CN2047NR-FHD-32GB-1TBSSD-W11P-K1	B0C1F22Y9G	989	26
HP-17-CN2165-32GB-1TS-W10P-UL	B09MJQMK7Z	849	4
HP-17-CN2165CL-32GB-1TB-W11P-K	B09MJQ9P4W	1199	22
HP-17-CR0747NR-64GB-4TBSSD-W11P-K1	B0BS2GZZ8Z	1899	14
HP-17T-BY400-FHD-32GB-1TBSSD-W10P-USB	B097X2R8CX	1199	3
HP-27F-4K-MIX2	B07K4QDNVX	369	10
